[2016-11-21 14:35:14,845 : setup - GPIO @ GPIO.py (DEBUG)] PIN P8_13 (obstacle detection status) setup as INPUT
[2016-11-21 14:39:07,928 : setup - GPIO @ GPIO.py (DEBUG)] PIN P8_13 (obstacle detection status) setup as INPUT
[2016-11-21 14:41:27,711 : setup - GPIO @ GPIO.py (DEBUG)] PIN P8_13 (obstacle detection status) setup as INPUT
[2016-11-21 14:43:45,098 : setup - GPIO @ GPIO.py (DEBUG)] PIN P8_13 (obstacle detection status) setup as INPUT
[2016-11-21 14:44:38,874 : setup - GPIO @ GPIO.py (DEBUG)] PIN P8_13 (obstacle detection status) setup as INPUT
[2016-11-21 14:47:59,692 : setup - GPIO @ GPIO.py (DEBUG)] PIN P8_13 (obstacle detection status) setup as INPUT
[2016-11-21 14:48:44,152 : setup - GPIO @ GPIO.py (DEBUG)] PIN P8_13 (obstacle detection status) setup as INPUT
[2016-11-21 14:50:07,838 : setup - GPIO @ GPIO.py (DEBUG)] PIN P8_13 (obstacle detection status) setup as INPUT
[2016-11-21 15:15:07,461 : start - PWM @ PWM.py (DEBUG)] PWM started on PIN P9_16 (left motor's PWM) with a duty cycle of 0
[2016-11-21 15:15:07,463 : start - PWM @ PWM.py (DEBUG)] PWM started on PIN P9_14 (right motor's PWM) with a duty cycle of 0
[2016-11-21 15:15:07,463 : setup - GPIO @ GPIO.py (DEBUG)] PIN P9_23 (left motor's forward pin) setup as OUTPUT
[2016-11-21 15:15:07,464 : setup - GPIO @ GPIO.py (DEBUG)] PIN P9_29 (right motor's forward pin) setup as OUTPUT
[2016-11-21 15:15:07,464 : setup - GPIO @ GPIO.py (DEBUG)] PIN P9_25 (left motor's backward pin) setup as OUTPUT
[2016-11-21 15:15:07,464 : setup - GPIO @ GPIO.py (DEBUG)] PIN P9_31 (right motor's backward pin) setup as OUTPUT
[2016-11-21 15:15:07,465 : output - GPIO @ GPIO.py (DEBUG)] PIN P9_23 (left motor's forward pin)'s state changed to LOW
[2016-11-21 15:15:07,465 : output - GPIO @ GPIO.py (DEBUG)] PIN P9_29 (right motor's forward pin)'s state changed to LOW
[2016-11-21 15:15:07,465 : output - GPIO @ GPIO.py (DEBUG)] PIN P9_25 (left motor's backward pin)'s state changed to LOW
[2016-11-21 15:15:07,466 : output - GPIO @ GPIO.py (DEBUG)] PIN P9_31 (right motor's backward pin)'s state changed to LOW
[2016-11-21 15:16:46,794 : start - PWM @ PWM.py (DEBUG)] PWM started on PIN P9_16 (left motor's PWM) with a duty cycle of 0
[2016-11-21 15:16:46,796 : start - PWM @ PWM.py (DEBUG)] PWM started on PIN P9_14 (right motor's PWM) with a duty cycle of 0
[2016-11-21 15:16:46,796 : setup - GPIO @ GPIO.py (DEBUG)] PIN P9_23 (left motor's forward pin) setup as OUTPUT
[2016-11-21 15:16:46,797 : setup - GPIO @ GPIO.py (DEBUG)] PIN P9_29 (right motor's forward pin) setup as OUTPUT
[2016-11-21 15:16:46,797 : setup - GPIO @ GPIO.py (DEBUG)] PIN P9_25 (left motor's backward pin) setup as OUTPUT
[2016-11-21 15:16:46,797 : setup - GPIO @ GPIO.py (DEBUG)] PIN P9_31 (right motor's backward pin) setup as OUTPUT
[2016-11-21 15:16:46,798 : output - GPIO @ GPIO.py (DEBUG)] PIN P9_23 (left motor's forward pin)'s state changed to LOW
[2016-11-21 15:16:46,798 : output - GPIO @ GPIO.py (DEBUG)] PIN P9_29 (right motor's forward pin)'s state changed to LOW
[2016-11-21 15:16:46,798 : output - GPIO @ GPIO.py (DEBUG)] PIN P9_25 (left motor's backward pin)'s state changed to LOW
[2016-11-21 15:16:46,799 : output - GPIO @ GPIO.py (DEBUG)] PIN P9_31 (right motor's backward pin)'s state changed to LOW
